year,is_french_CA_bso_wos_openalex_single_lang,montant_moyen,is_french_CA
2013,french CA,1559.24691503761,french CA
2013,non french CA,1653.38785441426,non french CA
2014,french CA,1635.85831319793,french CA
2014,non french CA,1751.59924075484,non french CA
2015,french CA,1780.32143123559,french CA
2015,non french CA,1920.20017421051,non french CA
2016,french CA,1881.38384365576,french CA
2016,non french CA,1916.83824941218,non french CA
2017,french CA,1891.03862318666,french CA
2017,non french CA,1961.35901297683,non french CA
2018,french CA,1875.62967173229,french CA
2018,non french CA,1984.05116451906,non french CA
2019,french CA,1838.3834576532,french CA
2019,non french CA,1950.62449560163,non french CA
2020,french CA,1848.74474440524,french CA
2020,non french CA,1971.85380785583,non french CA
