year,n,n_min,n_max,montant_apc_total,montant_apc_total_min,montant_apc_total_max
2020,87500000,87500000,87500000,,,
2021,88500677.3029372,87676380.3742314,89324974.2316429,143225253.707636,139264233.534804,147208167.585587
2022,89501354.6058743,87852760.7484628,91149948.4632858,146290478.106322,138284048.960576,154385766.105007
2023,90502031.9088115,88029141.1226942,92974922.6949287,149295673.970746,137160832.629829,161634192.867639
2024,91502709.2117486,88205521.4969255,94799896.9265717,152242932.644858,135891227.815997,168950072.885474
2025,92503386.5146857,88381901.8711569,96624871.1582146,155128137.364848,134474863.398792,176332950.897261
2026,93504063.8176229,88558282.2453883,98449845.3898575,157953313.550576,132917512.441488,183788844.336114
2027,94504741.1205601,88734662.6196197,100274819.6215,160720750.318259,131211716.758785,191309947.595453
2028,95505418.4234972,88911042.9938511,102099793.853143,163424161.202709,129365443.211167,198904620.841272
2029,96506095.7264343,89087423.3680824,103924768.084786,166069316.607175,127372008.791875,206565836.981118
2030,97506773.0293715,89263803.7423138,105749742.316429,168654493.357028,125234035.195354,214296422.842172
