year,name,value
2013,Diamond,3329
2013,Gold,4840
2013,HybridOA,934
2013,"APC paid (Gold 
or HybridOA)",5774
2014,Diamond,3381
2014,Gold,5563
2014,HybridOA,1425
2014,"APC paid (Gold 
or HybridOA)",6988
2015,Diamond,3773
2015,Gold,6651
2015,HybridOA,1332
2015,"APC paid (Gold 
or HybridOA)",7983
2016,Diamond,3980
2016,Gold,7529
2016,HybridOA,1813
2016,"APC paid (Gold 
or HybridOA)",9342
2017,Diamond,4121
2017,Gold,8561
2017,HybridOA,1923
2017,"APC paid (Gold 
or HybridOA)",10484
2018,Diamond,4244
2018,Gold,9016
2018,HybridOA,2086
2018,"APC paid (Gold 
or HybridOA)",11102
2019,Diamond,4173
2019,Gold,10478
2019,HybridOA,2559
2019,"APC paid (Gold 
or HybridOA)",13037
2020,Diamond,2429
2020,Gold,13306
2020,HybridOA,3042
2020,"APC paid (Gold 
or HybridOA)",16348
