year,tier,n
2013,tier 1,313
2013,tier 2,300
2013,tier 3,2348
2013,tier 4,1868
2014,tier 1,517
2014,tier 2,429
2014,tier 3,2429
2014,tier 4,2227
2015,tier 1,537
2015,tier 2,2054
2015,tier 3,2530
2015,tier 4,1267
2016,tier 1,579
2016,tier 2,2701
2016,tier 3,2596
2016,tier 4,1427
2017,tier 1,686
2017,tier 2,3186
2017,tier 3,2718
2017,tier 4,1585
2018,tier 1,709
2018,tier 2,3735
2018,tier 3,3071
2018,tier 4,1595
2019,tier 1,873
2019,tier 2,4897
2019,tier 3,3311
2019,tier 4,1541
2020,tier 1,1221
2020,tier 2,6864
2020,tier 3,3970
2020,tier 4,1701
